policy,policy_index,selection_label,welfare_lens,run_name,seed,scenario,scenario_index,climate_ensemble_index,years_above_1p5C,years_above_2C,ever_above_1p5C,ever_above_2C,max_global_temperature,temperature_2100
P0,0,A_actor_preferred_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_4567890,4567890,FAIR_918,45,918,284.0,284.0,True,True,11.86748142487569,11.27601793795778
P0,0,A_actor_preferred_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_4567890,4567890,FAIR_938,46,938,284.0,284.0,True,True,11.870703737836202,11.279152295432773
P0,0,A_actor_preferred_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_4567890,4567890,FAIR_959,47,959,284.0,284.0,True,True,11.87385964337665,11.282214638887671
P0,0,A_actor_preferred_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_4567890,4567890,FAIR_979,48,979,284.0,284.0,True,True,11.876965916896056,11.28522440189271
P0,0,A_actor_preferred_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_4567890,4567890,FAIR_1000,49,1000,284.0,284.0,True,True,11.880032417321331,11.288192961473287
P1,1,B_best_prioritarian_threshold,PRIORITARIAN,PRIORITARIAN_50000_2345678,2345678,FAIR_1,0,1,284.0,284.0,True,True,11.835560903802948,11.284989393457941
P1,1,B_best_prioritarian_threshold,PRIORITARIAN,PRIORITARIAN_50000_2345678,2345678,FAIR_21,1,21,284.0,284.0,True,True,11.81039083844704,11.254237271052672
P1,1,B_best_prioritarian_threshold,PRIORITARIAN,PRIORITARIAN_50000_2345678,2345678,FAIR_41,2,41,284.0,284.0,True,True,11.796401037846756,11.237209528101461
P1,1,B_best_prioritarian_threshold,PRIORITARIAN,PRIORITARIAN_50000_2345678,2345678,FAIR_62,3,62,284.0,284.0,True,True,11.788805563190142,11.2278085872158
P1,1,B_best_prioritarian_threshold,PRIORITARIAN,PRIORITARIAN_50000_2345678,2345678,FAIR_82,4,82,284.0,284.0,True,True,11.785058809408435,11.222924983378237
