delta,eta,rho,ecr_plateau,scenario,policy,model
2.0,1.5,0.010666666666666668,0.0,437,no_abatement,JUSTICE_A2_morris_traceable
2.0,0.8333333333333334,0.010666666666666668,0.0,438,no_abatement,JUSTICE_A2_morris_traceable
2.0,0.8333333333333334,0.03,0.0,439,no_abatement,JUSTICE_A2_morris_traceable
0.5,1.5,0.001,0.0,440,no_abatement,JUSTICE_A2_morris_traceable
1.5,1.5,0.001,0.0,441,no_abatement,JUSTICE_A2_morris_traceable
1.5,0.8333333333333334,0.001,0.0,442,no_abatement,JUSTICE_A2_morris_traceable
1.5,0.8333333333333334,0.02033333333333333,0.0,443,no_abatement,JUSTICE_A2_morris_traceable
1.0,1.5,0.001,0.0,444,no_abatement,JUSTICE_A2_morris_traceable
1.0,0.8333333333333334,0.001,0.0,445,no_abatement,JUSTICE_A2_morris_traceable
2.0,0.8333333333333334,0.001,0.0,446,no_abatement,JUSTICE_A2_morris_traceable
2.0,0.8333333333333334,0.02033333333333333,0.0,447,no_abatement,JUSTICE_A2_morris_traceable
0.5,0.5,0.010666666666666668,0.0,448,no_abatement,JUSTICE_A2_morris_traceable
1.5,0.5,0.010666666666666668,0.0,449,no_abatement,JUSTICE_A2_morris_traceable
1.5,1.1666666666666665,0.010666666666666668,0.0,450,no_abatement,JUSTICE_A2_morris_traceable
1.5,1.1666666666666665,0.03,0.0,451,no_abatement,JUSTICE_A2_morris_traceable
2.0,1.1666666666666665,0.02033333333333333,0.0,452,no_abatement,JUSTICE_A2_morris_traceable
2.0,0.5,0.02033333333333333,0.0,453,no_abatement,JUSTICE_A2_morris_traceable
1.0,0.5,0.02033333333333333,0.0,454,no_abatement,JUSTICE_A2_morris_traceable
1.0,0.5,0.001,0.0,455,no_abatement,JUSTICE_A2_morris_traceable
0.5,1.5,0.02033333333333333,0.0,456,no_abatement,JUSTICE_A2_morris_traceable
0.5,0.8333333333333334,0.02033333333333333,0.0,457,no_abatement,JUSTICE_A2_morris_traceable
0.5,0.8333333333333334,0.001,0.0,458,no_abatement,JUSTICE_A2_morris_traceable
1.5,0.8333333333333334,0.001,0.0,459,no_abatement,JUSTICE_A2_morris_traceable
2.0,0.8333333333333334,0.010666666666666668,0.0,460,no_abatement,JUSTICE_A2_morris_traceable
2.0,1.5,0.010666666666666668,0.0,461,no_abatement,JUSTICE_A2_morris_traceable
1.0,1.5,0.010666666666666668,0.0,462,no_abatement,JUSTICE_A2_morris_traceable
1.0,1.5,0.03,0.0,463,no_abatement,JUSTICE_A2_morris_traceable
1.5,0.8333333333333334,0.03,0.0,464,no_abatement,JUSTICE_A2_morris_traceable
0.5,0.8333333333333334,0.03,0.0,465,no_abatement,JUSTICE_A2_morris_traceable
0.5,1.5,0.03,0.0,466,no_abatement,JUSTICE_A2_morris_traceable
0.5,1.5,0.010666666666666668,0.0,467,no_abatement,JUSTICE_A2_morris_traceable
2.0,1.5,0.02033333333333333,0.0,468,no_abatement,JUSTICE_A2_morris_traceable
1.0,1.5,0.02033333333333333,0.0,469,no_abatement,JUSTICE_A2_morris_traceable
1.0,0.8333333333333334,0.02033333333333333,0.0,470,no_abatement,JUSTICE_A2_morris_traceable
1.0,0.8333333333333334,0.001,0.0,471,no_abatement,JUSTICE_A2_morris_traceable
1.5,1.1666666666666665,0.010666666666666668,0.0,472,no_abatement,JUSTICE_A2_morris_traceable
0.5,1.1666666666666665,0.010666666666666668,0.0,473,no_abatement,JUSTICE_A2_morris_traceable
0.5,0.5,0.010666666666666668,0.0,474,no_abatement,JUSTICE_A2_morris_traceable
0.5,0.5,0.03,0.0,475,no_abatement,JUSTICE_A2_morris_traceable
1.5,0.8333333333333334,0.03,0.0,476,no_abatement,JUSTICE_A2_morris_traceable
