ssp_scenario,ecs_percentile,eta,delta,ecr_plateau,scenario,policy,model
4,77.7466310688369,0.9497941049168652,1.4611812838270042,0.2,94,low_abatement,JUSTICE_A3_1p5_extension
4,40.11591759081918,1.772408597041375,0.6544295058438513,0.2,95,low_abatement,JUSTICE_A3_1p5_extension
7,42.14976405272399,2.213764748186829,1.352082272233423,0.2,96,low_abatement,JUSTICE_A3_1p5_extension
5,65.56069618425077,2.1578895063857417,0.6273261344048222,0.2,97,low_abatement,JUSTICE_A3_1p5_extension
2,34.72055907254472,2.058351539431448,0.873093246414878,0.2,98,low_abatement,JUSTICE_A3_1p5_extension
2,57.179430232325416,1.2336031138764412,1.1172433359445497,0.2,99,low_abatement,JUSTICE_A3_1p5_extension
5,21.55488372752826,1.5323126228345525,0.5309501292694543,0.2,100,low_abatement,JUSTICE_A3_1p5_extension
5,11.153337928716427,2.491532527900504,1.8839262130882728,0.2,101,low_abatement,JUSTICE_A3_1p5_extension
3,43.629150179410146,2.367536302285006,1.736336492687039,0.2,102,low_abatement,JUSTICE_A3_1p5_extension
3,96.3078569234125,2.1864211654777623,1.6313217207714106,0.2,103,low_abatement,JUSTICE_A3_1p5_extension
4,68.34483501389684,1.009920427621576,0.7087210569580633,0.2,104,low_abatement,JUSTICE_A3_1p5_extension
5,92.93220334185928,1.347860940543373,0.5187844278086781,0.2,105,low_abatement,JUSTICE_A3_1p5_extension
1,66.04816553854688,2.0035365799275353,0.9668650066087568,0.2,106,low_abatement,JUSTICE_A3_1p5_extension
4,45.1071209560339,2.1745169639654915,1.7940594809168648,0.2,107,low_abatement,JUSTICE_A3_1p5_extension
2,29.706973288564996,1.3615894497951868,1.1324725625051264,0.2,108,low_abatement,JUSTICE_A3_1p5_extension
5,92.31664901639938,1.2427190536864012,0.9290916342632751,0.2,109,low_abatement,JUSTICE_A3_1p5_extension
5,84.2048899352736,2.223721057058051,1.3118614650748253,0.2,110,low_abatement,JUSTICE_A3_1p5_extension
6,64.77724739956604,1.8359214332915292,0.6718339685675994,0.2,111,low_abatement,JUSTICE_A3_1p5_extension
3,40.61004412356375,0.91311870186021,0.7345353734393474,0.2,112,low_abatement,JUSTICE_A3_1p5_extension
7,7.48962896882371,2.443199627737073,1.400108046265007,0.2,113,low_abatement,JUSTICE_A3_1p5_extension
2,30.370179290487147,0.7918811994704025,1.5971532032886975,0.2,114,low_abatement,JUSTICE_A3_1p5_extension
4,28.717088639909733,1.936116285350722,1.5422387365335795,0.2,115,low_abatement,JUSTICE_A3_1p5_extension
0,23.202318445609958,1.9826529690615131,1.648276294887239,0.2,116,low_abatement,JUSTICE_A3_1p5_extension
1,70.64866647128041,1.7017221062144836,1.6953911056193158,0.2,117,low_abatement,JUSTICE_A3_1p5_extension
2,97.47732237331103,2.3156386318781257,1.8267652503505196,0.2,118,low_abatement,JUSTICE_A3_1p5_extension
6,1.1009073798295963,1.0196472859599264,1.0184520294422224,0.2,119,low_abatement,JUSTICE_A3_1p5_extension
5,91.51508461011493,0.7785581121837662,0.5504026486868985,0.2,120,low_abatement,JUSTICE_A3_1p5_extension
7,2.74001816446784,0.6681107043667386,1.1010200438561875,0.2,121,low_abatement,JUSTICE_A3_1p5_extension
4,33.311700314315345,1.1466322078609141,0.7949029065970334,0.2,122,low_abatement,JUSTICE_A3_1p5_extension
0,79.86838615721108,1.2877528342149827,1.5659842438040852,0.2,123,low_abatement,JUSTICE_A3_1p5_extension
0,22.69657424536054,1.4971125483922667,0.5909156862756849,0.2,124,low_abatement,JUSTICE_A3_1p5_extension
6,58.18683605753223,1.904286275478734,1.5127627452989802,0.2,125,low_abatement,JUSTICE_A3_1p5_extension
6,19.160068491815103,1.3157012936648056,1.5945089715398189,0.2,126,low_abatement,JUSTICE_A3_1p5_extension
2,85.8193329349402,0.7880383491680016,1.5517977289083604,0.2,127,low_abatement,JUSTICE_A3_1p5_extension
2,95.62472805904734,1.5747821450959782,1.1127177077013801,0.2,128,low_abatement,JUSTICE_A3_1p5_extension
7,82.07803377409533,1.7902015165950533,0.7147126781694897,0.2,129,low_abatement,JUSTICE_A3_1p5_extension
0,89.48464291310327,2.329865152910002,1.2679248075325553,0.2,130,low_abatement,JUSTICE_A3_1p5_extension
6,3.316951517445416,1.7219887505670983,0.6598814584326333,0.2,131,low_abatement,JUSTICE_A3_1p5_extension
6,81.93902596127151,1.2096668704479512,0.7313730425472862,0.2,132,low_abatement,JUSTICE_A3_1p5_extension
2,14.126695040970336,1.07701148440715,1.092514380441557,0.2,133,low_abatement,JUSTICE_A3_1p5_extension
7,61.39317971531316,1.4646784854643995,0.7177911463377489,0.2,134,low_abatement,JUSTICE_A3_1p5_extension
1,57.6947346242483,0.9284267847588096,1.4837819779108188,0.2,135,low_abatement,JUSTICE_A3_1p5_extension
5,18.76933453795269,0.7182581740131804,1.5790149807340657,0.2,136,low_abatement,JUSTICE_A3_1p5_extension
3,93.33191740574057,1.896617415251641,1.4955279104085708,0.2,137,low_abatement,JUSTICE_A3_1p5_extension
6,74.21668778095747,1.158485884433663,0.9890822966439358,0.2,138,low_abatement,JUSTICE_A3_1p5_extension
6,22.003725733531528,0.5459293657884664,0.6459599021392544,0.2,139,low_abatement,JUSTICE_A3_1p5_extension
3,24.906849090658014,2.2725098220166497,1.217008869402732,0.2,140,low_abatement,JUSTICE_A3_1p5_extension
6,1.8252769953630403,2.4229319855728377,1.5113261525626922,0.2,141,low_abatement,JUSTICE_A3_1p5_extension
6,67.24746239216833,0.8615688895294241,0.7579052553659131,0.2,142,low_abatement,JUSTICE_A3_1p5_extension
3,38.27082122469219,0.6443527623848788,0.5383263786036161,0.2,143,low_abatement,JUSTICE_A3_1p5_extension
1,79.22605710562128,0.5108934220112951,1.8327479770889918,0.2,144,low_abatement,JUSTICE_A3_1p5_extension
1,60.269825276033565,2.122235338089633,1.662537553112834,0.2,145,low_abatement,JUSTICE_A3_1p5_extension
1,25.89882812755034,1.9688341494891821,1.621249905538111,0.2,146,low_abatement,JUSTICE_A3_1p5_extension
3,75.45198709007485,2.380107762170367,1.8054094244985943,0.2,147,low_abatement,JUSTICE_A3_1p5_extension
5,38.54960302851158,1.2199880789415236,1.922912414229745,0.2,148,low_abatement,JUSTICE_A3_1p5_extension
4,69.38905875840473,1.05902961573545,1.7774038632670477,0.2,149,low_abatement,JUSTICE_A3_1p5_extension
3,31.46032609811354,2.0452936831321127,0.5257249118863616,0.2,150,low_abatement,JUSTICE_A3_1p5_extension
4,52.99224377484975,2.0367156572645952,1.1918452202178185,0.2,151,low_abatement,JUSTICE_A3_1p5_extension
1,94.69392030460526,0.8235977851895689,1.45409704568774,0.2,152,low_abatement,JUSTICE_A3_1p5_extension
0,62.252450159508264,0.9081023496636235,1.1779539813323079,0.2,153,low_abatement,JUSTICE_A3_1p5_extension
6,44.62567100361113,0.9797807378127086,1.246617490822861,0.2,154,low_abatement,JUSTICE_A3_1p5_extension
3,88.71275348205802,0.6971136944770846,1.8971491306510955,0.2,155,low_abatement,JUSTICE_A3_1p5_extension
0,14.928743897408104,2.488958947618317,1.875804816937017,0.2,156,low_abatement,JUSTICE_A3_1p5_extension
3,53.02303859579093,2.144554541744518,0.9207142511494402,0.2,157,low_abatement,JUSTICE_A3_1p5_extension
0,95.47269571840643,1.6096912385044493,0.5716740121837353,0.2,158,low_abatement,JUSTICE_A3_1p5_extension
5,50.81924808548256,2.4142370818145418,1.6029019049054918,0.2,159,low_abatement,JUSTICE_A3_1p5_extension
7,35.190870546236994,1.1196177592731835,1.6456627651376932,0.2,160,low_abatement,JUSTICE_A3_1p5_extension
3,97.93795052728217,1.0482472910117218,0.7778067117220193,0.2,161,low_abatement,JUSTICE_A3_1p5_extension
2,37.13697961038693,2.2623430344127007,0.5625275397632681,0.2,162,low_abatement,JUSTICE_A3_1p5_extension
5,9.052707651186616,2.089903352333649,0.5094903464162398,0.2,163,low_abatement,JUSTICE_A3_1p5_extension
0,7.920251066710435,2.093587748820654,1.5623358416045088,0.2,164,low_abatement,JUSTICE_A3_1p5_extension
7,94.13647964321297,2.3383061354627435,0.8654738949412377,0.2,165,low_abatement,JUSTICE_A3_1p5_extension
3,16.637601354094457,1.16236034617134,1.724531298350242,0.2,166,low_abatement,JUSTICE_A3_1p5_extension
7,45.72682880964783,1.7121063941017718,1.7520522395346392,0.2,167,low_abatement,JUSTICE_A3_1p5_extension
4,43.21501707630504,1.7848210636557504,0.8126610898512807,0.2,168,low_abatement,JUSTICE_A3_1p5_extension
