years_above_1p5C,years_above_2C,peak_temp,welfare_loss_damage,policy,success_1p5C_zero_exceedance,success_2C_zero_exceedance
270.0,254.0,8.069582128056153,834911.1694034261,low_abatement,False,False
267.0,255.0,10.587783750081124,660.6390185585077,low_abatement,False,False
275.0,258.0,5.385492172094985,141.60742171801155,low_abatement,False,False
254.0,228.0,3.7791950050470255,127883365.88765922,low_abatement,False,False
273.0,257.0,6.847530833694737,722786254.5823841,low_abatement,False,False
282.0,266.0,8.436305099243754,438.9058882416318,low_abatement,False,False
259.0,237.0,5.64358471824023,47.99594732764393,low_abatement,False,False
269.0,250.0,3.774262299148167,156.81795562598137,low_abatement,False,False
268.0,244.0,3.3528687684068452,14527770.228373125,low_abatement,False,False
266.0,232.0,2.659114624654893,2115172.257735584,low_abatement,False,False
266.0,246.0,4.94822961150749,419872592.1575032,low_abatement,False,False
275.0,258.0,4.092455670506688,693.9118068828825,low_abatement,False,False
268.0,252.0,4.583092117222664,1272.995033788694,low_abatement,False,False
265.0,245.0,6.05118873767724,6793446.901480809,low_abatement,False,False
274.0,254.0,4.478034647055072,5011201.991789138,low_abatement,False,False
267.0,240.0,3.706908201618872,315.1524933413119,low_abatement,False,False
275.0,231.0,3.087230855902024,613.7507746966043,low_abatement,False,False
271.0,256.0,7.995542141337052,3233.29947962454,low_abatement,False,False
265.0,248.0,7.742896599542424,157.73197685058574,low_abatement,False,False
264.0,178.0,2.292147870533425,1801655501.342902,low_abatement,False,False
274.0,256.0,6.470213315169148,20470438.82789733,low_abatement,False,False
272.0,253.0,5.063601434867927,24538.50298173051,low_abatement,False,False
271.0,252.0,3.660369441386193,646529371.6533719,low_abatement,False,False
260.0,241.0,5.388324241492162,740.4492471654038,low_abatement,False,False
273.0,259.0,7.9414174171258765,1572.97822526084,low_abatement,False,False
271.0,251.0,5.423453325875836,98991946.09118752,low_abatement,False,False
253.0,204.0,2.297080106281388,12306626.978574215,low_abatement,False,False
261.0,202.0,2.5117118211074505,11990261.34953839,low_abatement,False,False
267.0,256.0,11.134371343225487,245185561.0827475,low_abatement,False,False
264.0,240.0,4.28485232013465,726.9005376092805,low_abatement,False,False
270.0,256.0,8.365096009531705,80780.44344405997,low_abatement,False,False
266.0,243.0,3.6906170012124666,238438.82240429736,low_abatement,False,False
266.0,241.0,4.814334702995499,690.5318405986915,low_abatement,False,False
260.0,236.0,4.792130480522422,1722029625.5620232,low_abatement,False,False
272.0,216.0,2.2474608661970126,75.70869387927355,low_abatement,False,False
270.0,233.0,3.1575157760016506,1296.4877793015205,low_abatement,False,False
263.0,234.0,2.7534615427842617,470446903.89542294,low_abatement,False,False
267.0,252.0,5.111251504072548,1917.7843507961861,low_abatement,False,False
253.0,226.0,4.440712666409398,6511.848087422876,low_abatement,False,False
273.0,260.0,8.908563490735586,191.24749279998252,low_abatement,False,False
265.0,251.0,8.668061256192576,660961.6050977396,low_abatement,False,False
264.0,219.0,2.383565193459321,28233633.203327857,low_abatement,False,False
271.0,256.0,8.745955134647614,3052.3530583826755,low_abatement,False,False
259.0,243.0,4.577758021009819,147743621.9953356,low_abatement,False,False
252.0,207.0,2.9305330852053024,7623402.314781731,low_abatement,False,False
260.0,236.0,4.518177619616349,60453.84105341372,low_abatement,False,False
257.0,198.0,2.5590253910296967,13330.795803663234,low_abatement,False,False
271.0,257.0,7.447166492837663,118474.07013688312,low_abatement,False,False
273.0,262.0,11.933633774365626,130249.76725609289,low_abatement,False,False
269.0,257.0,6.466412844396347,463.9250301487401,low_abatement,False,False
267.0,250.0,4.08876695094341,46261.864378695274,low_abatement,False,False
266.0,246.0,3.8323679710851355,82281256.98321787,low_abatement,False,False
277.0,264.0,9.330071588835402,19974.69614352991,low_abatement,False,False
268.0,222.0,2.6542936795696472,224.99426609338198,low_abatement,False,False
268.0,247.0,4.981779936368508,379824501.4265116,low_abatement,False,False
273.0,258.0,7.341713149114359,760.0359666507717,low_abatement,False,False
270.0,257.0,8.819814412158545,1048382.0957825548,low_abatement,False,False
275.0,259.0,8.549579407964105,1205397725.3892474,low_abatement,False,False
255.0,222.0,3.114923087281719,54.84008501347315,low_abatement,False,False
273.0,254.0,6.438323260537531,22.1712117407974,low_abatement,False,False
264.0,227.0,2.3572298259220554,58350.63771068674,low_abatement,False,False
264.0,247.0,4.475317297211259,138.96253668078396,low_abatement,False,False
266.0,247.0,4.882878211401463,14342359.16400386,low_abatement,False,False
232.0,0.0,1.777662916077765,32195.812477086358,medium_abatement,False,True
265.0,248.0,6.055334234186805,3331.4554032610695,medium_abatement,False,False
266.0,252.0,5.210989811071443,3435.8563504356684,medium_abatement,False,False
265.0,239.0,3.729041829832757,251.89645443412434,medium_abatement,False,False
264.0,240.0,4.485390716824458,3423986.4141786387,medium_abatement,False,False
207.0,0.0,1.7872031922423393,34762.80233621914,medium_abatement,False,True
