welfare_lens,reference_set_row,fraction_above_threshold,welfare_loss_damage,welfare_loss_abatement
PRIORITARIAN,142,0.3,35305.021201711366,76952.92800953845
PRIORITARIAN,143,0.4,35630.16340139386,68031.74975846236
PRIORITARIAN,144,0.4,35483.13656982971,75123.6043030349
PRIORITARIAN,145,0.6,32637.077195035185,120591.29579157116
PRIORITARIAN,146,0.3,35296.278483830734,77046.66195228824
PRIORITARIAN,147,0.6,35589.40674804807,73868.22363176986
PRIORITARIAN,148,0.4,35541.83809761226,73902.5100204185
PRIORITARIAN,149,0.6,36001.08690280018,14389.050444640628
PRIORITARIAN,150,0.6,35731.812994253065,16407.159400218698
PRIORITARIAN,151,0.3,35310.59258122624,76350.34454809119
PRIORITARIAN,152,0.4,35945.04997832007,15134.607018230245
PRIORITARIAN,153,0.2,35453.31342290555,39795.78566328864
PRIORITARIAN,154,0.4,32913.13557050274,108485.88540951988
PRIORITARIAN,155,0.4,35896.191471688566,38992.14494597004
PRIORITARIAN,156,0.4,35331.8981544166,74481.2455192763
PRIORITARIAN,157,0.4,35170.261071879024,74922.43891337022
PRIORITARIAN,158,0.4,35577.03733228818,73631.1763057533
PRIORITARIAN,159,0.6,35651.78283699199,44279.14045587408
PRIORITARIAN,160,0.4,35614.324784436976,68471.0573775206
PRIORITARIAN,161,0.3,35328.89271181957,75436.14085893649
PRIORITARIAN,162,0.6,35988.48338425788,14617.708057953136
PRIORITARIAN,163,0.3,35832.90671743908,40535.00366804897
PRIORITARIAN,164,0.4,35425.243831601016,73903.81948642436
PRIORITARIAN,165,0.2,36088.09504636072,13805.304566362369
PRIORITARIAN,166,0.4,35971.7645989559,14617.97936673111
PRIORITARIAN,167,0.3,35823.1703740481,40733.27411932212
PRIORITARIAN,168,0.4,33099.51134014319,108334.2929642767
PRIORITARIAN,169,0.4,32621.004981512044,120858.96359517863
PRIORITARIAN,170,0.4,35718.16944549055,41703.43894037041
PRIORITARIAN,171,0.6,35742.35607101941,15972.366592964629
PRIORITARIAN,172,0.4,35256.702610369786,74811.62080492351
PRIORITARIAN,173,0.6,34390.95588723056,93182.0122648544
PRIORITARIAN,174,0.4,34859.569805556326,94044.44065122248
PRIORITARIAN,175,0.5,29652.09134489684,127031.97685100876
PRIORITARIAN,176,0.6,34119.35836782151,94783.57166003907
PRIORITARIAN,177,0.3,35160.06471798902,76784.88056797945
PRIORITARIAN,178,1.0,19855.25623337405,154070.2518554405
PRIORITARIAN,179,1.0,20833.322231840528,149537.3321985105
PRIORITARIAN,180,0.6,34257.93042171627,93833.86752988948
PRIORITARIAN,181,0.4,35126.33995372219,85404.02320040918
PRIORITARIAN,182,0.7,22860.737154638387,135857.21546969784
PRIORITARIAN,183,0.3,35126.982699073465,76987.29694607308
PRIORITARIAN,184,0.6,34043.30493861894,94826.39752576251
PRIORITARIAN,185,0.6,34271.366400991086,93614.52435822204
PRIORITARIAN,186,0.5,34200.34057804337,94531.68634871572
PRIORITARIAN,187,0.9,21086.68031221802,147854.52965217616
PRIORITARIAN,188,0.5,34227.17949958623,94113.47943466698
PRIORITARIAN,189,0.7,34153.57839839163,94327.5406999243
PRIORITARIAN,190,1.0,18656.03023985061,157708.15249461582
PRIORITARIAN,191,0.9,20970.84444322632,147933.78184795773
PRIORITARIAN,192,0.4,34893.8250470362,90763.11027679908
PRIORITARIAN,193,0.3,35241.79361936693,49878.15382867194
PRIORITARIAN,194,1.0,19453.09454351712,156178.27668500534
PRIORITARIAN,195,1.0,19325.43210376712,156766.69034772157
PRIORITARIAN,196,0.4,35096.19991566354,85917.92164173024
PRIORITARIAN,197,1.0,20947.13553270574,148711.66609273572
PRIORITARIAN,198,1.0,20768.727715460973,149767.83065860922
PRIORITARIAN,199,0.6,25971.012445989287,131701.57471032982
PRIORITARIAN,200,0.4,34992.14429963842,77238.59802351276
PRIORITARIAN,201,0.6,28940.13713028308,127428.30778511288
PRIORITARIAN,202,0.6,34720.292179623735,92314.0545315224
PRIORITARIAN,203,0.3,35495.34269993984,48626.69354270926
PRIORITARIAN,204,1.0,18982.08766467385,157462.4197642937
PRIORITARIAN,205,1.0,19500.8400549516,154944.5387342415
PRIORITARIAN,206,1.0,15526.000595183958,161118.3267696681
PRIORITARIAN,207,1.0,19439.13736084881,156282.8095235636
PRIORITARIAN,208,0.7,34036.525466744344,95417.33021711104
PRIORITARIAN,209,0.4,33988.4762853563,90849.10769117562
PRIORITARIAN,210,0.7,23097.606049517668,135086.70936980407
PRIORITARIAN,211,0.4,35011.881547568904,86207.7017079384
PRIORITARIAN,212,1.0,19701.93349695812,154269.00102795457
PRIORITARIAN,213,0.3,35170.13500215301,69153.26590052027
PRIORITARIAN,214,0.8,34844.83782300273,92133.7775446542
PRIORITARIAN,215,0.6,25613.41430000688,132077.2383343846
PRIORITARIAN,216,0.4,34995.46763925621,85920.33159475756
PRIORITARIAN,217,0.3,35203.238404884054,67701.4860112181
PRIORITARIAN,218,1.0,20654.150609379853,149894.41166662623
PRIORITARIAN,219,1.0,20116.261743146664,153811.97036034687
PRIORITARIAN,220,1.0,14472.364165584528,162101.78969372733
PRIORITARIAN,221,0.6,34883.18262166415,92084.3217986546
PRIORITARIAN,222,0.6,34661.21581380876,92992.01362016697
PRIORITARIAN,223,0.4,35092.19651298069,77107.71064675784
PRIORITARIAN,224,0.7,22210.11691651386,144476.35378063962
PRIORITARIAN,225,0.4,35130.22178567182,79043.86177531054
PRIORITARIAN,226,1.0,16033.757488421365,161060.30386948952
PRIORITARIAN,227,0.6,34944.933774803845,89566.23156077445
PRIORITARIAN,228,1.0,14690.090055815752,161717.24239399846
PRIORITARIAN,229,0.5,29537.240485385537,127426.32579025438
PRIORITARIAN,230,0.6,24905.097747038795,117977.04080284842
PRIORITARIAN,231,1.0,16794.58465159098,160042.06311634052
PRIORITARIAN,232,0.5,29193.183476325525,127667.6335682578
PRIORITARIAN,233,0.6,34674.09985883994,92511.08675884052
PRIORITARIAN,234,1.0,19825.8434647032,154179.4485350095
PRIORITARIAN,235,0.9,21086.661842577065,146499.52808328174
PRIORITARIAN,236,1.0,14968.98856647288,161232.91600357846
PRIORITARIAN,237,0.9,20966.811671877786,148694.87747329602
PRIORITARIAN,238,0.6,34012.236883362944,96625.83662411167
PRIORITARIAN,239,0.7,23331.52581865987,134333.32500935765
PRIORITARIAN,240,0.4,34896.2141346895,90035.7640554387
PRIORITARIAN,241,0.6,34496.601229874606,93868.4262127326
PRIORITARIAN,242,0.7,22873.000275551643,135627.95720846264
PRIORITARIAN,243,0.3,35015.3504923149,69738.42659280161
PRIORITARIAN,244,0.3,34996.05412167561,69915.06761157204
PRIORITARIAN,245,0.7,22659.759382600216,135105.75386576864
PRIORITARIAN,246,0.3,34936.83031560485,70080.4666091973
PRIORITARIAN,247,0.6,34750.807994707626,78430.95943692212
PRIORITARIAN,248,0.5,31011.78770640952,123570.91521469071
PRIORITARIAN,249,0.3,34974.13774348784,76854.8043288466
PRIORITARIAN,250,0.5,31566.99077936653,122422.49837150156
PRIORITARIAN,251,0.4,34834.46165311741,76487.6347484568
PRIORITARIAN,252,0.4,32078.99290038031,122945.90953303392
PRIORITARIAN,253,1.0,20832.099754856783,149903.45959618606
PRIORITARIAN,254,0.4,34683.34497500499,78603.45249844732
PRIORITARIAN,255,0.4,35057.05829489705,16005.36465148272
PRIORITARIAN,256,1.0,20946.0788379964,149378.4449989534
PRIORITARIAN,257,0.3,35685.882248369206,13330.507426754111
PRIORITARIAN,258,1.0,20851.57372308961,149433.1862395309
PRIORITARIAN,259,0.3,35073.56485724068,29069.136442221123
PRIORITARIAN,260,1.0,11619.693859213892,164003.50933113854
PRIORITARIAN,261,0.4,31445.189297776327,123404.6546479262
PRIORITARIAN,262,0.7,22451.64911476277,139399.26172488698
PRIORITARIAN,263,0.3,34969.60361386997,80235.80905430397
PRIORITARIAN,264,0.5,31834.378343805405,118524.28463279556
